column,data_type,num_unique,num_missing,highest_freq,highest_val,lowest_val,mean,std_dev
person_age,int64,58,0,23,144.0,20.0,27.73459992019889,6.3480784192252475
person_income,int64,4295,0,60000,6000000.0,4000.0,66074.84846996715,61983.119168159064
person_home_ownership,object,4,0,RENT,,,,
person_emp_length,float64,36,895,0.0,123.0,0.0,4.789686296787225,4.142630148887972
loan_intent,object,6,0,EDUCATION,,,,
loan_grade,object,7,0,A,,,,
loan_amnt,int64,753,0,10000,35000.0,500.0,9589.371105859243,6322.086645792174
loan_int_rate,float64,348,3116,7.51,23.22,5.42,11.011694892245036,3.2404594649559195
loan_status,int64,2,0,0,1.0,0.0,0.21816396059052823,0.4130056685601785
loan_percent_income,float64,77,0,0.1,0.83,0.0,0.1702034928332464,0.10678175634492885
cb_person_default_on_file,object,2,0,N,,,,
cb_person_cred_hist_length,int64,29,0,2,30.0,2.0,5.804211043246064,4.0550011647128406
